org,sector,ein,tax_year,total_revenue,total_expenses,contributions,program_revenue,investment_income,salaries_wages,officer_compensation,total_assets_end,total_liabilities_end,net_assets_end,operating_margin,reserve_months,compensation_ratio,contribution_share,program_revenue_share,investment_income_share,leverage,largest_revenue_category_share,revenue_growth_yoy
Kiva Microfunds,Financial Inclusion,710992446,2017,17711126,17714851,17394640,0,258829,6626792,2004966,40525883,12860844,27665039,-0.00021031977300596248,18.74023484589286,0.48726111215950957,0.9821306674685731,0.0,0.014613921215398727,0.31734889033756525,0.9821306674685731,0.028527841076708915
Kiva Microfunds,Financial Inclusion,710992446,2018,23183659,18715309,23064341,0,71419,6052071,2576135,46231095,14089517,32141578,0.19273704810789358,20.608739935846103,0.46102396706354143,0.994853357703372,0.0,0.0030805749860278744,0.30476277925063205,0.994853357703372,0.30898842908124524
Kiva Microfunds,Financial Inclusion,710992446,2019,19945312,26934227,19712505,0,196160,8169520,2848593,29265474,4217848,25047626,-0.3504038944088716,11.159463087617105,0.4090747805756594,0.9883277333540834,0.0,0.0098348925301344,0.14412368649829488,0.9883277333540834,-0.13968230812918703
Kiva Microfunds,Financial Inclusion,710992446,2020,38603028,30902781,38319210,0,251904,9932879,3797648,38469820,5722778,32747042,0.19947261650044654,12.716153410270746,0.4443136363681961,0.99264777882191,0.0,0.006525498466078879,0.14876019695439177,0.99264777882191,0.9354436771909109
Kiva Microfunds,Financial Inclusion,710992446,2021,42407113,35400319,39005595,0,3389871,12523099,3696738,245372729,205623286,39749443,0.16522685710767437,13.474266036981192,0.4581833570482797,0.919788975024072,0.0,0.07993637765438076,0.8380038272305314,0.919788975024072,0.09854369455162937
Kiva Microfunds,Financial Inclusion,710992446,2022,14808996,21067658,13996171,0,779772,7401976,1265601,253233825,219746998,33486827,-0.42262567968821113,19.07387731469725,0.41141625708942114,0.9451127544365601,0.0,0.05265529141881057,0.867763214491587,0.9451127544365601,-0.6507898097189497
Kiva Microfunds,Financial Inclusion,710992446,2023,34727565,37635582,28358806,1112794,4083220,11364462,2899440,238841357,208098900,30742457,-0.08373800466574607,9.80214638370678,0.37900043634239533,0.8166079597000251,0.032043536596936754,0.11757864393889983,0.8712850346098142,0.8166079597000251,1.3450316955990806
Marshall Project Inc,Journalism,464353634,2014,5139255,2441764,5139255,0,0,1294099,295576,2728362,30871,2697491,0.5248797734301957,13.256765191066785,0.6510354809064267,1.0,0.0,0.0,0.01131484751656855,1.0,
Marshall Project Inc,Journalism,464353634,2015,4804989,4192416,4772352,0,1020,1894155,844301,3435433,125369,3310064,0.12748686833622302,9.474433834810286,0.6531928129269614,0.9932076847626499,0.0,0.00021227936213797784,0.036492925345946205,0.9932076847626499,-0.065041722973466
Marshall Project Inc,Journalism,464353634,2016,4567140,4520695,4425256,0,1213,0,1061896,3469958,113449,3356509,0.01016938390327426,8.909715873333637,0.23489662540826134,0.9689337309563534,0.0,0.0002655929093480822,0.03269463203877396,0.9689337309563534,-0.04950042549525091
Marshall Project Inc,Journalism,464353634,2017,5918015,4588892,5873737,0,4077,1991057,829610,4758220,72588,4685632,0.22458932598176923,12.25297609967722,0.6146727793985999,0.9925180993965037,0.0,0.0006889134278976988,0.015255284539176414,0.9925180993965037,0.29578138616289396
Marshall Project Inc,Journalism,464353634,2018,4119625,3061533,3876162,0,7297,1262893,443825,5874712,130988,5743724,0.2568418241951634,22.513129206838535,0.5574716980022754,0.9409016597384471,0.0,0.0017712777255211335,0.022296922810854387,0.9409016597384471,-0.30388398812777595
Marshall Project Inc,Journalism,464353634,2019,8684091,7178249,8392154,224790,59883,2997937,948266,7435464,185898,7249566,0.17340237452601545,12.119221832510965,0.5497445129027985,0.966382549422847,0.025885265366288768,0.006895713091905647,0.025001533192817556,0.966382549422847,1.1079809448675548
Marshall Project Inc,Journalism,464353634,2020,12290756,7576984,12229099,15746,45431,3129034,1469345,12758308,794970,11963338,0.3835217296641476,18.946860122708454,0.6068877801510469,0.9949834656224564,0.001281125424668751,0.0036963552119983504,0.06230998655934627,0.9949834656224564,0.41531865568889126
Marshall Project Inc,Journalism,464353634,2021,10911571,8682199,10870812,36062,4688,4038139,1384419,14225251,32541,14192710,0.20431265122135026,19.616288454111682,0.6245604368202111,0.99626460754368,0.0033049319845877374,0.0004296356592465008,0.002287551903302093,0.99626460754368,-0.1122131950223404
Marshall Project Inc,Journalism,464353634,2022,15174508,10828400,15103214,20216,18569,5189912,1434211,18747646,208828,18538818,0.2864084950892642,20.54466181522663,0.6117360828931329,0.9953017257627068,0.0013322342971515122,0.0012236970055305911,0.011138891784067184,0.9953017257627068,0.39068040706512375
Marshall Project Inc,Journalism,464353634,2023,14495664,13892550,13999252,46859,423203,6560479,2193598,19267720,125788,19141932,0.041606510746937844,16.53427081421337,0.6301274424061817,0.9657544490545587,0.003232621837813018,0.02919514414793279,0.0065284320095994755,0.9657544490545587,-0.04473581614639499
